name,height,check,date,range
Rysy,2499,True,nieznana,tatry
Babia Gora,1725,False,nieznana,beskid zywiecki
Sniezka,1602,False,nieznana,karkonosze
Snieznik,1425,False,nieznana,masyw snieznika
Tarnica,1346,False,nieznana,bieszczady
Turbacz,1310,False,nieznana,gorce
Radziejowa,1262,False,nieznana,beskid sadecki
Skrzyczne,1257,False,nieznana,beskid slaski
Mogielica,1171,False,nieznana,beskid wyspowy
Wysoka Kopa,1126,False,nieznana,gory izerskie
Rudawiec,1112,False,nieznana,gory bielawskie
Orlica,1084,False,nieznana,gory orlickie
Wysoka,1050,False,nieznana,pieniny
Wielka Sowa,1015,False,nieznana,gory sowie
Lackowa,997,False,nieznana,beskid niski
Kowadlo,989,False,nieznana,gory zlote
Jagodna,977,False,nieznana,gory bystrzyckie
Skalnik,945,False,nieznana,rudawy janowickie
Waligora,936,False,nieznana,gory kamienne
Czupel,933,False,nieznana,beskid maly
Szczeliniec Wielki,919,False,nieznana,gory stolowe
Lubomir,904,False,nieznana,beskid makowski
Biskupia Kopa,889,False,nieznana,gory opawskie
Chelmiec,851,False,nieznana,gory walbrzyskie
Klodzka Gora,765,False,nieznana,gory bardzkie
Skopiec,724,False,nieznana,gory kaczawskie
Sleza,718,False,nieznana,masyw slezy
Lysica,612,False,nieznana,gory swietokrzyskie
